CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0001,M,15,I,CIV:B;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:D;B-MATH:A,s0101
S0101/0002,M,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:D;CHEM:D;BIO:F;B-MATH:D,s0101
S0101/0003,M,21,II,CIV:B;HIST:C;GEO:C;KISW:D;ENGL:D;PHY:C;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0004,M,31,IV,CIV:D;HIST:F;GEO:D;E-D-KIISLAMU:X;KISW:F;ENGL:F;PHY:D;CHEM:F;BIO:F;B-MATH:D,s0101
S0101/0005,M,*E,*E,,s0101
S0101/0006,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F,s0101
S0101/0007,M,18,II,CIV:C;HIST:C;GEO:B;KISW:C;ENGL:C;PHY:B;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0008,M,22,III,CIV:C;HIST:C;GEO:D;E-D-KIISLAMU:X;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0009,M,17,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:C;B-MATH:B,s0101
S0101/0010,M,32,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:D,s0101
S0101/0011,M,30,IV,CIV:F;HIST:D;GEO:F;KISW:C;ENGL:F;PHY:F;CHEM:D;BIO:F;B-MATH:D,s0101
S0101/0012,M,12,I,CIV:B;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:A;CHEM:B;BIO:B;B-MATH:A;ADD;MATH:B,s0101
S0101/0013,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:D;B-MATH:F,s0101
S0101/0014,M,16,I,CIV:B;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:B;CHEM:B;BIO:C;B-MATH:B,s0101
