CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0001,M,23,III,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0002,M,18,II,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:B;PHY:B;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0003,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0004,M,29,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0005,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0006,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;PHY:X;CHEM:X;BIO:F;B-MATH:C,s0101
S0101/0007,M,35,FLD,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:X;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0008,M,35,FLD,CIV:F;HIST:F;GEO:F;PHY;EDU:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0009,M,26,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0010,M,34,FLD,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:D;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0011,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0012,M,33,IV,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0013,M,35,FLD,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0014,M,*E,*E,,s0101
S0101/0015,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0016,M,*E,*E,,s0101
S0101/0017,M,31,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:F;BIO:F;B-MATH:F;COMM:X;B-KEEPING:X,s0101
S0101/0018,M,26,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:D;BIO:X;B-MATH:C;COMM:D;B-KEEPING:C,s0101
S0101/0019,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0020,M,31,IV,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:D;CHEM:D;BIO:F;B-MATH:D,s0101
S0101/0021,M,32,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0022,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:D,s0101
S0101/0024,M,28,IV,CIV:D;HIST:D;GEO:F;KISW:C;ENGL:D;BIO:X;B-MATH:F;COMM:D;B-KEEPING:D,s0101
S0101/0025,M,*E,*E,,s0101
S0101/0026,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0027,M,23,III,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:D;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0028,M,28,IV,CIV:D;HIST:D;GEO:D;F.ART:F;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0029,M,35,FLD,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:X;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0030,M,26,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:C;BIO:D;B-MATH:D;COMM:D;B-KEEPING:D,s0101
S0101/0031,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0032,M,-,FLD,CIV:F;HIST:F;GEO:X;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0033,M,35,FLD,CIV:F;HIST:F;GEO:F;PHY;EDU:X;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0034,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0035,M,22,III,CIV:D;HIST:D;GEO:C;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0036,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0037,M,20,II,CIV:C;HIST:D;GEO:C;E-D-KIISLAMU:X;KISW:C;ENGL:D;PHY:B;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0038,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0039,M,35,FLD,CIV:F;HIST:F;GEO:F;F.ART:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0040,M,26,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:C;CHEM:C;BIO:D;B-MATH:D,s0101
S0101/0041,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0042,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F,s0101
S0101/0043,M,35,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0044,M,34,FLD,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:D;CHEM:F;BIO:F;B-MATH:F,s0101
