necta,name,region,hc_key,ownership,moe
s3961,,LINDI,tz-li,PUBLIC,S3939
s3966,,SINGIDA,tz-sd,PUBLIC,S3912
s3974,,SINGIDA,tz-sd,PUBLIC,S3920
s4305,,TANGA,tz-tn,PUBLIC,S4216
s4340,,MARA,tz-ma,PRIVATE,S4284
s4930,,RUKWA,tz-rk,PUBLIC,S4588
s4961,,MOROGORO,tz-mo,PRIVATE,S4863
s4991,,MWANZA,tz-mw,PUBLIC,S4632
s5011,,MARA,tz-ma,PUBLIC,S4641
s5023,,MANYARA,tz-my,PUBLIC,S4647
s5024,,MANYARA,tz-my,PUBLIC,S4648
s5026,,IRINGA,tz-ir,PRIVATE,S4651
s5027,,MWANZA,tz-mw,PRIVATE,S4650
s5040,,KIGOMA,tz-km,PUBLIC,S4642
s5041,,LINDI,tz-li,PUBLIC,S4654
s5042,,KAGERA,tz-kr,PRIVATE,S4657
s5052,,KIGOMA,tz-km,PRIVATE,S4665
s5064,,SINGIDA,tz-sd,PUBLIC,S4661
s5066,,MWANZA,tz-mw,PUBLIC,S4679
s5067,,MWANZA,tz-mw,PUBLIC,S4680
s5076,,ARUSHA,tz-as,PUBLIC,S4678
s5077,,RUVUMA,tz-rv,PRIVATE,S4673
s5082,,MARA,tz-ma,PRIVATE,S4672
s5090,,GEITA,tz-ge,PUBLIC,S4644
s5095,,NJOMBE,tz-nj,PUBLIC,S4687
s5102,,NJOMBE,tz-nj,PUBLIC,S4686
s5104,,MARA,tz-ma,PUBLIC,S4658
s5106,,ARUSHA,tz-as,PUBLIC,S4700
s5107,,NJOMBE,tz-nj,PRIVATE,S4697
s5108,,MARA,tz-ma,PRIVATE,S4696
s5117,,MWANZA,tz-mw,PRIVATE,S4707
s5118,,IRINGA,tz-ir,PRIVATE,S4710
s5121,,DAR ES SALAAM,tz-ds,PRIVATE,S4708
s5132,,MANYARA,tz-my,PUBLIC,S4575
s5133,,DAR ES SALAAM,tz-ds,PRIVATE,S4714
s5139,,KAGERA,tz-kr,PUBLIC,S4646
s5143,,KAGERA,tz-kr,PUBLIC,S4716
s5144,,KAGERA,tz-kr,PRIVATE,S4720
s5148,,MBEYA,tz-mb,PRIVATE,S4773
s5155,,DAR ES SALAAM,tz-ds,PRIVATE,S4717
s5158,,KAGERA,tz-kr,PRIVATE,S4727
s5164,,MBEYA,tz-mb,PRIVATE,S4731
s5167,,PWANI,tz-pw,PUBLIC,S4663
s5188,,NJOMBE,tz-nj,PRIVATE,S4737
s5196,,MOROGORO,tz-mo,PRIVATE,S4730
s5197,,KAGERA,tz-kr,PUBLIC,S4750
s5198,,KAGERA,tz-kr,PUBLIC,S4751
s5199,,KAGERA,tz-kr,PUBLIC,S4752
s5205,,MWANZA,tz-mw,PRIVATE,S4740
s5206,,IRINGA,tz-ir,PUBLIC,S4688
s5209,,DODOMA,tz-do,PRIVATE,S4747
s5211,,MBEYA,tz-mb,PUBLIC,S4767
s5212,,MBEYA,tz-mb,PUBLIC,S4768
s5213,,KILIMANJARO,tz-kl,PRIVATE,S4701
s5219,,NJOMBE,tz-nj,PRIVATE,S4756
s5220,,RUVUMA,tz-rv,PRIVATE,S4757
s5223,,IRINGA,tz-ir,PUBLIC,S4689
s5224,,PWANI,tz-pw,PUBLIC,S4771
s5225,,ARUSHA,tz-as,PRIVATE,S4782
s5226,,ARUSHA,tz-as,PRIVATE,S4786
s5231,,MARA,tz-ma,PRIVATE,S4793
s5232,,KILIMANJARO,tz-kl,PRIVATE,S4758
s5234,,MBEYA,tz-mb,PUBLIC,S4796
s5238,,MARA,tz-ma,PUBLIC,S4659
s5242,,SHINYANGA,tz-sh,PRIVATE,S4769
s5243,,TABORA,tz-tb,PUBLIC,S3662
s5250,,MWANZA,tz-mw,PRIVATE,S4803
s5251,,IRINGA,tz-ir,PRIVATE,S4724
s5253,,MARA,tz-ma,PRIVATE,S4805
s5256,,MOROGORO,tz-mo,PRIVATE,S4800
s5265,,SINGIDA,tz-sd,PRIVATE,S4813
s5283,,KIGOMA,tz-km,PUBLIC,S4669
s5288,,PWANI,tz-pw,PRIVATE,S4825
s5293,,PWANI,tz-pw,PRIVATE,S4828
s5330,,KIGOMA,tz-km,PRIVATE,S4730
s5335,,DODOMA,tz-do,PUBLIC,S4639
s5336,,DODOMA,tz-do,PUBLIC,S4638
s5338,,MOROGORO,tz-mo,PRIVATE,S4811
s5339,,SONGWE,tz-mb,PRIVATE,S4810
s5341,,RUKWA,tz-rk,PRIVATE,S4809
s5342,,PWANI,tz-pw,PRIVATE,S4671
s5343,,MWANZA,tz-mw,PRIVATE,S4853
s5344,,MWANZA,tz-mw,PRIVATE,S4852
s5352,,ARUSHA,tz-as,PRIVATE,S4784
s5353,,KIGOMA,tz-km,PUBLIC,S4487
s5356,,MOROGORO,tz-mo,PRIVATE,S4790
s5357,,MOROGORO,tz-mo,PRIVATE,S4789
s5364,,NJOMBE,tz-nj,PRIVATE,S4685
s5367,,KIGOMA,tz-km,PRIVATE,S4762
s5370,,PWANI,tz-pw,PRIVATE,S4869
s5374,,KUSINI PEMBA,tz-ps,,
s5378,,TANGA,tz-tn,PRIVATE,S4804
s5379,,TANGA,tz-tn,PRIVATE,S4712
s5380,,PWANI,tz-pw,PRIVATE,S4876
s5381,,TABORA,tz-tb,PRIVATE,S4795
s5384,,GEITA,tz-ge,PUBLIC,S4670
s5387,,MJINI MAGHARIBI,tz-zw,,
s5390,,ARUSHA,tz-as,PRIVATE,S4766
s5393,,DAR ES SALAAM,tz-ds,PRIVATE,S4886
s5395,,ARUSHA,tz-as,PRIVATE,S4883
s5398,,MARA,tz-ma,PUBLIC,S4882
s5399,,NJOMBE,tz-nj,PRIVATE,S4881
s5403,,MBEYA,tz-mb,PRIVATE,S4890
s5407,,RUVUMA,tz-rv,PRIVATE,S4694
s5418,,KAGERA,tz-kr,PRIVATE,S4897
s5426,,KAGERA,tz-kr,PRIVATE,S4908
s5433,,DAR ES SALAAM,tz-ds,,
s5434,,KIGOMA,tz-km,PRIVATE,S4915
s5445,,IRINGA,tz-ir,PRIVATE,S4824
s5453,,KASKAZINI PEMBA,tz-pn,,
s5464,,MWANZA,tz-mw,PRIVATE,S4933
